project_id,sov_line_id,num_logs,num_employees,num_roles,total_hours_st,total_hours_ot,total_effective_hours,avg_hourly_rate,avg_burden_multiplier,total_labor_cost,first_date,last_date,ot_share_of_raw_hours
PRJ-2018-001,PRJ-2018-001-SOV-01,348,340,18,2758.0,156.0,2992.0,59.9367816091954,1.396982758620689,252021.73000000042,2018-01-08,2019-06-19,0.053534660260809885
PRJ-2018-001,PRJ-2018-001-SOV-02,142,141,14,1110.0,80.0,1230.0,61.602112676056336,1.3983802816901392,106076.11000000007,2018-01-08,2019-05-27,0.06722689075630252
PRJ-2018-001,PRJ-2018-001-SOV-03,193,192,12,1524.0,122.0,1707.0,61.45854922279793,1.3989637305699456,147383.7900000002,2018-02-19,2019-06-06,0.07411907654921021
PRJ-2018-001,PRJ-2018-001-SOV-04,181,181,13,1430.0,78.0,1547.0,57.370165745856355,1.3939226519336994,126061.52000000022,2018-02-16,2019-05-14,0.05172413793103448
PRJ-2018-001,PRJ-2018-001-SOV-05,191,191,13,1514.0,60.0,1604.0,59.81151832460733,1.3956020942408347,134845.32000000018,2018-02-16,2019-06-13,0.03811944091486658
PRJ-2018-001,PRJ-2018-001-SOV-06,79,79,9,614.0,50.0,689.0,61.75949367088607,1.4000000000000008,60271.60999999994,2018-05-08,2018-09-04,0.07530120481927711
PRJ-2018-001,PRJ-2018-001-SOV-07,86,86,11,682.0,58.0,769.0,56.02325581395349,1.391860465116279,59865.42999999997,2018-05-08,2018-09-04,0.07837837837837838
PRJ-2018-001,PRJ-2018-001-SOV-08,84,82,9,664.0,52.0,742.0,59.089285714285715,1.3958333333333337,61189.38999999997,2018-05-08,2019-05-27,0.07262569832402235
PRJ-2018-001,PRJ-2018-001-SOV-09,189,183,13,1496.0,110.0,1661.0,59.29365079365079,1.3952380952380927,138372.7000000002,2018-05-08,2019-05-29,0.0684931506849315
PRJ-2018-001,PRJ-2018-001-SOV-10,101,101,13,796.0,54.0,877.0,62.37623762376238,1.4006930693069304,76778.94000000002,2018-09-05,2019-05-05,0.06352941176470588
PRJ-2018-001,PRJ-2018-001-SOV-11,140,140,15,1110.0,46.0,1179.0,59.15357142857143,1.394285714285713,97348.1000000001,2018-09-05,2019-05-24,0.039792387543252594
PRJ-2018-001,PRJ-2018-001-SOV-12,112,112,14,872.0,66.0,971.0,59.982142857142854,1.3966964285714278,81481.04,2018-09-05,2019-05-27,0.07036247334754797
PRJ-2018-001,PRJ-2018-001-SOV-13,37,37,11,296.0,16.0,320.0,58.729729729729726,1.3959459459459465,26768.52,2018-12-17,2019-02-08,0.05128205128205128
