project_id,sov_line_id,actual_labor_cost,total_hours_st,total_hours_ot,total_effective_hours,avg_hourly_rate,avg_burden_multiplier,ot_share_of_raw_hours,first_date,last_date,budget_labor_hours,budget_labor_cost,productivity_factor,key_assumptions,labor_variance,pct_overrun
PRJ-2018-001,PRJ-2018-001-SOV-01,252021.73000000042,2758.0,156.0,2992.0,59.9367816091954,1.396982758620689,0.053534660260809885,2018-01-08,2019-06-19,24809.0,1645600.0,1.0,Clear site access; no coordination delays; standard PM staffing,-1393578.2699999996,-0.8468511606708796
PRJ-2018-001,PRJ-2018-001-SOV-02,106076.11000000007,1110.0,80.0,1230.0,61.602112676056336,1.3983802816901392,0.06722689075630252,2018-01-08,2019-05-27,11378.0,754700.0,1.0,Submittals prepared in-house; standard review cycles,-648623.8899999999,-0.8594459917848151
PRJ-2018-001,PRJ-2018-001-SOV-03,147383.7900000002,1524.0,122.0,1707.0,61.45854922279793,1.3989637305699456,0.07411907654921021,2018-02-19,2019-06-06,42424.0,2814000.0,0.85,70% shop fabrication; 30% field fab; standard material availability,-2666616.21,-0.9476248081023454
PRJ-2018-001,PRJ-2018-001-SOV-04,126061.52000000022,1430.0,78.0,1547.0,57.370165745856355,1.3939226519336994,0.05172413793103448,2018-02-16,2019-05-14,45127.0,2993300.0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas,-2867238.48,-0.957885437477032
PRJ-2018-001,PRJ-2018-001-SOV-05,134845.32000000018,1514.0,60.0,1604.0,59.81151832460733,1.3956020942408347,0.03811944091486658,2018-02-16,2019-06-13,33661.0,2232800.0,0.9,Copper pricing based on current market rates,-2097954.6799999997,-0.9396070763167322
PRJ-2018-001,PRJ-2018-001-SOV-06,60271.60999999994,614.0,50.0,689.0,61.75949367088607,1.4000000000000008,0.07530120481927711,2018-05-08,2018-09-04,18084.0,1199500.0,0.9,Refrigerant pricing per current market; lineset routing direct,-1139228.3900000001,-0.9497527219674866
PRJ-2018-001,PRJ-2018-001-SOV-07,59865.42999999997,682.0,58.0,769.0,56.02325581395349,1.391860465116279,0.07837837837837838,2018-05-08,2018-09-04,13404.0,889100.0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP,-829234.5700000001,-0.9326673827465978
PRJ-2018-001,PRJ-2018-001-SOV-08,61189.38999999997,664.0,52.0,742.0,59.089285714285715,1.3958333333333337,0.07262569832402235,2018-05-08,2019-05-27,12212.0,810000.0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access,-748810.61,-0.9244575432098765
PRJ-2018-001,PRJ-2018-001-SOV-09,138372.7000000002,1496.0,110.0,1661.0,59.29365079365079,1.3952380952380927,0.0684931506849315,2018-05-08,2019-05-29,14924.0,989900.0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub,-851527.2999999998,-0.8602154763107382
PRJ-2018-001,PRJ-2018-001-SOV-10,76778.94000000002,796.0,54.0,877.0,62.37623762376238,1.4006930693069304,0.06352941176470588,2018-09-05,2019-05-05,25633.0,1700200.0,0.85,DDC installation per controls contractor scope; point count per I/O schedule,-1623421.06,-0.9548412304434772
PRJ-2018-001,PRJ-2018-001-SOV-11,97348.1000000001,1110.0,46.0,1179.0,59.15357142857143,1.394285714285713,0.039792387543252594,2018-09-05,2019-05-24,16136.0,1070300.0,0.9,Programming based on approved sequences; 2 weeks for commissioning,-972951.8999999999,-0.909045968420069
PRJ-2018-001,PRJ-2018-001-SOV-12,81481.04,872.0,66.0,971.0,59.982142857142854,1.3966964285714278,0.07036247334754797,2018-09-05,2019-05-27,20581.0,1365100.0,1.0,Insulation by specialty sub; pricing based on current bid,-1283618.96,-0.9403113032012307
PRJ-2018-001,PRJ-2018-001-SOV-13,26768.52,296.0,16.0,320.0,58.729729729729726,1.3959459459459465,0.05128205128205128,2018-12-17,2019-02-08,11676.0,774400.0,1.0,TAB by certified balancing contractor; one mobilization assumed,-747631.48,-0.9654332128099173
PRJ-2018-001,PRJ-2018-001-SOV-14,29579.869999999995,340.0,14.0,361.0,58.35227272727273,1.394545454545455,0.03954802259887006,2018-12-18,2019-02-11,8062.0,534700.0,0.95,Startup includes 2 weeks of system commissioning support,-505120.13,-0.9446795025247803
PRJ-2018-001,PRJ-2018-001-SOV-15,29958.359999999986,326.0,28.0,368.0,57.86585365853659,1.3934146341463418,0.07909604519774012,2018-12-20,2019-02-11,7938.0,526500.0,1.0,"Closeout includes as-builts, O&M manuals, and owner training",-496541.64,-0.9430990313390314
PRJ-2018-002,PRJ-2018-002-SOV-01,487383.1300000002,5342.0,300.0,5792.0,60.12982195845697,1.397789317507408,0.053172633817795106,2018-01-12,2019-09-01,18047.0,1130100.0,1.0,Clear site access; no coordination delays; standard PM staffing,-642716.8699999999,-0.5687256614458897
PRJ-2018-002,PRJ-2018-002-SOV-02,157451.93000000017,1822.0,76.0,1936.0,58.02813852813853,1.3949783549783528,0.040042149631190724,2018-01-12,2019-08-12,6866.0,429900.0,1.0,Submittals prepared in-house; standard review cycles,-272448.06999999983,-0.6337475459409161
PRJ-2018-002,PRJ-2018-002-SOV-03,250685.6700000003,2716.0,168.0,2968.0,59.76300578034682,1.398063583815029,0.05825242718446602,2018-03-12,2019-08-27,29210.0,1829200.0,0.85,70% shop fabrication; 30% field fab; standard material availability,-1578514.3299999996,-0.8629533839930021
PRJ-2018-002,PRJ-2018-002-SOV-04,250408.46000000028,2786.0,156.0,3020.0,59.125,1.3969034090909087,0.05302515295717199,2018-03-12,2019-09-02,33160.0,2076500.0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas,-1826091.5399999998,-0.879408398747893
PRJ-2018-002,PRJ-2018-002-SOV-05,258128.03000000023,2818.0,190.0,3103.0,59.2,1.3968450704225348,0.06316489361702128,2018-03-09,2019-08-02,28643.0,1793700.0,0.9,Copper pricing based on current market rates,-1535571.9699999997,-0.8560918604002897
PRJ-2018-002,PRJ-2018-002-SOV-06,141908.67000000025,1552.0,84.0,1678.0,60.42051282051282,1.398871794871792,0.05134474327628362,2018-06-29,2019-08-16,14448.0,904700.0,0.9,Refrigerant pricing per current market; lineset routing direct,-762791.3299999997,-0.8431428429313581
PRJ-2018-002,PRJ-2018-002-SOV-07,140099.59000000014,1588.0,74.0,1699.0,58.51970443349754,1.3975862068965494,0.044524669073405534,2018-06-28,2019-08-30,13961.0,874200.0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP,-734100.4099999999,-0.8397396591169068
PRJ-2018-002,PRJ-2018-002-SOV-08,139252.61000000013,1496.0,106.0,1655.0,60.294736842105266,1.3984210526315761,0.066167290886392,2018-06-28,2019-08-22,11520.0,721400.0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access,-582147.3899999999,-0.8069689354033822
PRJ-2018-002,PRJ-2018-002-SOV-09,263598.9200000001,2952.0,158.0,3189.0,58.92666666666667,1.3963466666666664,0.05080385852090032,2018-06-28,2019-08-14,8199.0,513400.0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub,-249801.0799999999,-0.48656229061160866
PRJ-2018-002,PRJ-2018-002-SOV-10,143884.1300000003,1636.0,62.0,1729.0,59.19711538461539,1.3972596153846137,0.03651354534746761,2018-12-12,2019-08-12,31687.0,1984300.0,0.85,DDC installation per controls contractor scope; point count per I/O schedule,-1840415.8699999996,-0.9274887214634882
PRJ-2018-002,PRJ-2018-002-SOV-11,181669.48000000016,2000.0,126.0,2189.0,59.194117647058825,1.395921568627449,0.059266227657572904,2018-12-12,2019-08-27,14391.0,901200.0,0.9,Programming based on approved sequences; 2 weeks for commissioning,-719530.5199999998,-0.7984138038171325
PRJ-2018-002,PRJ-2018-002-SOV-12,140877.72000000023,1480.0,104.0,1636.0,61.276595744680854,1.3997340425531886,0.06565656565656566,2018-12-12,2019-09-03,13210.0,827200.0,1.0,Insulation by specialty sub; pricing based on current bid,-686322.2799999998,-0.8296932785299804
PRJ-2018-002,PRJ-2018-002-SOV-13,43359.899999999965,512.0,22.0,545.0,56.96923076923077,1.393076923076924,0.04119850187265917,2019-04-30,2019-09-02,7701.0,482200.0,1.0,TAB by certified balancing contractor; one mobilization assumed,-438840.10000000003,-0.9100790128577354
PRJ-2018-002,PRJ-2018-002-SOV-14,34676.269999999975,394.0,22.0,427.0,58.11764705882353,1.3931372549019605,0.052884615384615384,2019-04-30,2019-08-24,5338.0,334200.0,0.95,Startup includes 2 weeks of system commissioning support,-299523.73000000004,-0.8962409634949133
PRJ-2018-002,PRJ-2018-002-SOV-15,45692.089999999975,460.0,40.0,520.0,62.258620689655174,1.4000000000000006,0.08,2019-05-01,2019-07-19,5357.0,335400.0,1.0,"Closeout includes as-builts, O&M manuals, and owner training",-289707.91000000003,-0.8637683661299941
PRJ-2018-003,PRJ-2018-003-SOV-01,323095.5100000002,3612.0,214.0,3933.0,58.75929978118162,1.3954923413566702,0.05593308938839519,2018-01-12,2019-08-12,8713.0,588800.0,1.0,Clear site access; no coordination delays; standard PM staffing,-265704.4899999998,-0.4512644191576084
PRJ-2018-003,PRJ-2018-003-SOV-02,122832.54000000015,1356.0,52.0,1434.0,61.37861271676301,1.3983815028901707,0.036931818181818184,2018-01-12,2018-06-08,2288.0,154600.0,1.0,Submittals prepared in-house; standard review cycles,-31767.459999999846,-0.20548163001293562
PRJ-2018-003,PRJ-2018-003-SOV-03,152880.62000000034,1752.0,74.0,1863.0,58.50448430493274,1.395650224215245,0.040525739320920046,2018-03-05,2019-08-13,12785.0,864000.0,0.85,70% shop fabrication; 30% field fab; standard material availability,-711119.3799999997,-0.8230548379629625
