project_id,sov_line_id,num_deliveries,num_unique_deliveries,num_material_categories,num_vendors,total_quantity,avg_unit_cost,total_material_cost,first_delivery_date,last_delivery_date
PRJ-2018-001,PRJ-2018-001-SOV-03,7,7,2,5,1425.0,3411.092857142857,1499679.91,2018-01-21,2018-05-29
PRJ-2018-001,PRJ-2018-001-SOV-04,8,8,2,2,1503.0,3043.8399999999997,1372076.94,2018-01-22,2018-06-04
PRJ-2018-001,PRJ-2018-001-SOV-05,8,8,3,4,2468.0,4323.35,1500498.4700000002,2018-03-11,2018-09-11
PRJ-2018-001,PRJ-2018-001-SOV-06,5,5,1,4,2973.0,407.834,883476.56,2018-05-12,2018-09-20
PRJ-2018-001,PRJ-2018-001-SOV-07,4,4,1,3,1797.0,285601.1825,3545653.3,2018-04-14,2018-05-17
PRJ-2018-001,PRJ-2018-001-SOV-08,7,7,3,4,247.0,103287.86142857143,2310084.69,2018-04-22,2018-09-26
PRJ-2018-001,PRJ-2018-001-SOV-09,4,4,2,3,402.0,276320.0725,2832335.08,2018-05-08,2018-09-28
PRJ-2018-001,PRJ-2018-001-SOV-10,5,5,1,4,204.0,5533.606,1091472.3,2018-07-19,2018-09-07
PRJ-2018-001,PRJ-2018-001-SOV-11,5,5,2,4,217.0,2925.214,627935.25,2018-06-12,2018-08-26
PRJ-2018-001,PRJ-2018-001-SOV-12,3,3,1,2,988.0,724.0233333333332,578771.57,2018-07-28,2018-12-15
PRJ-2018-001,PRJ-2018-001-SOV-22,1,1,1,1,33.0,12086.39,398850.85,2018-09-07,2018-09-07
PRJ-2018-001,PRJ-2018-001-SOV-25,1,1,1,1,249.0,984.04,245025.93,2018-06-06,2018-06-06
PRJ-2018-002,PRJ-2018-002-SOV-03,5,5,1,4,1356.0,2027.9119999999998,1358127.3599999999,2018-03-26,2018-07-14
PRJ-2018-002,PRJ-2018-002-SOV-04,4,4,4,4,280.0,5057.655,1044064.72,2018-05-16,2018-08-14
PRJ-2018-002,PRJ-2018-002-SOV-05,3,3,2,2,1230.0,1680.97,1063964.8199999998,2018-07-21,2018-10-19
PRJ-2018-002,PRJ-2018-002-SOV-06,5,5,2,4,2283.0,2014.328,667687.46,2018-05-19,2018-12-13
PRJ-2018-002,PRJ-2018-002-SOV-07,6,6,4,4,2184.0,152017.16333333333,3173189.6799999997,2018-05-10,2018-11-02
PRJ-2018-002,PRJ-2018-002-SOV-08,5,5,3,3,59.0,143899.576,2033194.3199999998,2018-04-23,2018-11-12
PRJ-2018-002,PRJ-2018-002-SOV-09,8,8,1,3,703.0,68951.04375,1760496.6,2018-05-08,2018-12-30
PRJ-2018-002,PRJ-2018-002-SOV-10,8,8,2,4,381.0,1823.64125,693650.37,2018-10-20,2019-05-13
PRJ-2018-002,PRJ-2018-002-SOV-11,8,8,3,4,291.0,1574.1474999999998,392175.80000000005,2018-09-22,2019-05-12
PRJ-2018-002,PRJ-2018-002-SOV-12,8,8,2,6,1000.0,1911.6262500000003,397355.75000000006,2018-09-17,2019-03-17
PRJ-2018-003,PRJ-2018-003-SOV-03,6,6,1,5,1575.0,588.6516666666666,360083.05,2018-02-07,2018-05-19
PRJ-2018-003,PRJ-2018-003-SOV-04,3,3,2,3,526.0,1019.79,351966.7,2018-02-15,2018-07-12
PRJ-2018-003,PRJ-2018-003-SOV-05,5,5,1,2,1570.0,1682.9039999999998,382379.63,2018-04-02,2018-12-02
PRJ-2018-003,PRJ-2018-003-SOV-06,4,4,1,4,1621.0,664.55,238327.93000000002,2018-06-04,2018-09-18
PRJ-2018-003,PRJ-2018-003-SOV-07,5,5,2,3,754.0,33629.486,1165279.06,2018-04-24,2018-12-06
PRJ-2018-003,PRJ-2018-003-SOV-08,3,3,2,3,275.0,239347.3966666667,1132370.81,2018-06-23,2018-09-26
PRJ-2018-003,PRJ-2018-003-SOV-09,7,7,3,4,62.0,26563.99,749083.77,2018-04-03,2018-11-03
