project_id,week_start,num_deliveries,num_unique_deliveries,num_sov_lines,num_material_categories,num_vendors,total_quantity,avg_unit_cost,total_material_cost,first_delivery_date,last_delivery_date
PRJ-2018-001,2018-01-15,1,1,1,1,1,170.0,2638.19,448492.73,2018-01-21,2018-01-21
PRJ-2018-001,2018-01-22,2,2,2,1,2,541.0,1963.5,539487.92,2018-01-22,2018-01-24
PRJ-2018-001,2018-01-29,2,2,1,1,2,548.0,1939.385,310121.56,2018-01-30,2018-02-04
PRJ-2018-001,2018-02-05,1,1,1,1,1,86.0,3197.36,274973.05,2018-02-10,2018-02-10
PRJ-2018-001,2018-02-19,2,2,1,1,2,394.0,612.86,178625.44,2018-02-20,2018-02-22
PRJ-2018-001,2018-03-05,1,1,1,1,1,25.0,6061.45,151536.26,2018-03-11,2018-03-11
PRJ-2018-001,2018-03-12,1,1,1,1,1,472.0,473.79,223627.11,2018-03-15,2018-03-15
PRJ-2018-001,2018-03-26,1,1,1,1,1,313.0,77.15,24146.66,2018-03-30,2018-03-30
PRJ-2018-001,2018-04-02,1,1,1,1,1,22.0,4324.4,95136.9,2018-04-02,2018-04-02
PRJ-2018-001,2018-04-09,2,2,2,2,2,798.0,8335.135,1106979.56,2018-04-14,2018-04-15
PRJ-2018-001,2018-04-16,4,4,4,4,3,1005.0,285072.345,1861824.11,2018-04-19,2018-04-22
PRJ-2018-001,2018-04-30,1,1,1,1,1,49.0,3288.75,161148.68,2018-05-01,2018-05-01
PRJ-2018-001,2018-05-07,3,3,3,2,3,878.0,4065.463333333333,787420.53,2018-05-08,2018-05-13
PRJ-2018-001,2018-05-14,3,3,3,3,3,1018.0,7689.866666666668,1576049.52,2018-05-14,2018-05-17
PRJ-2018-001,2018-05-21,1,1,1,1,1,1.0,221307.53,221307.53,2018-05-23,2018-05-23
PRJ-2018-001,2018-05-28,1,1,1,1,1,333.0,545.99,181815.48,2018-05-29,2018-05-29
PRJ-2018-001,2018-06-04,3,3,3,2,2,516.0,2093.403333333333,567670.28,2018-06-04,2018-06-06
PRJ-2018-001,2018-06-11,3,3,2,3,3,1081.0,2505.1800000000003,561747.1799999999,2018-06-12,2018-06-14
PRJ-2018-001,2018-06-25,3,3,3,3,3,408.0,262872.7,1167234.1,2018-06-26,2018-07-01
PRJ-2018-001,2018-07-16,2,2,1,1,1,56.0,4632.455,392828.03,2018-07-19,2018-07-20
PRJ-2018-001,2018-07-23,3,3,3,2,3,444.0,2768.836666666666,467155.69000000006,2018-07-27,2018-07-28
PRJ-2018-001,2018-08-06,1,1,1,1,1,1.0,432033.66,432033.66,2018-08-11,2018-08-11
PRJ-2018-001,2018-08-13,1,1,1,1,1,39.0,2349.97,91648.98,2018-08-16,2018-08-16
PRJ-2018-001,2018-08-20,3,3,3,2,3,503.0,1266.5466666666669,347214.85,2018-08-21,2018-08-26
PRJ-2018-001,2018-08-27,2,2,2,2,2,869.0,146742.49500000002,859471.79,2018-08-30,2018-09-02
PRJ-2018-001,2018-09-03,3,3,3,2,2,73.0,8751.186666666666,812267.1699999999,2018-09-05,2018-09-07
PRJ-2018-001,2018-09-10,2,2,2,2,2,207.0,6560.645,845942.87,2018-09-10,2018-09-11
PRJ-2018-001,2018-09-17,1,1,1,1,1,987.0,107.18,105785.03,2018-09-20,2018-09-20
PRJ-2018-001,2018-09-24,2,2,2,1,2,43.0,38488.625,1645755.88,2018-09-26,2018-09-28
PRJ-2018-001,2018-10-15,1,1,1,1,1,197.0,1416.16,278984.32,2018-10-19,2018-10-19
PRJ-2018-001,2018-12-10,1,1,1,1,1,429.0,390.28,167427.98,2018-12-15,2018-12-15
PRJ-2018-002,2018-03-26,1,1,1,1,1,53.0,7470.85,395954.81,2018-03-26,2018-03-26
PRJ-2018-002,2018-04-23,1,1,1,1,1,4.0,44473.79,177895.16,2018-04-23,2018-04-23
PRJ-2018-002,2018-05-07,2,2,2,1,1,3.0,218101.305,599472.71,2018-05-08,2018-05-10
PRJ-2018-002,2018-05-14,3,3,3,3,3,771.0,2705.6066666666666,557450.15,2018-05-14,2018-05-19
PRJ-2018-002,2018-05-21,1,1,1,1,1,103.0,3424.81,352755.6,2018-05-24,2018-05-24
PRJ-2018-002,2018-05-28,1,1,1,1,1,418.0,632.42,264353.54,2018-05-30,2018-05-30
PRJ-2018-002,2018-06-11,1,1,1,1,1,424.0,779.39,330460.63,2018-06-16,2018-06-16
PRJ-2018-002,2018-06-18,1,1,1,1,1,772.0,635.9,490918.28,2018-06-20,2018-06-20
PRJ-2018-002,2018-07-02,1,1,1,1,1,8.0,9303.12,74424.99,2018-07-06,2018-07-06
PRJ-2018-002,2018-07-09,2,2,1,1,2,461.0,628.45,367358.38,2018-07-11,2018-07-14
PRJ-2018-002,2018-07-16,2,2,2,2,1,741.0,5108.5650000000005,771020.99,2018-07-16,2018-07-21
PRJ-2018-002,2018-07-23,2,2,2,2,2,51.0,52319.805,463355.18999999994,2018-07-26,2018-07-29
PRJ-2018-002,2018-07-30,1,1,1,1,1,878.0,950.16,834241.89,2018-08-01,2018-08-01
PRJ-2018-002,2018-08-06,2,2,2,2,2,687.0,1826.8700000000001,283037.26,2018-08-11,2018-08-11
PRJ-2018-002,2018-08-13,2,2,2,2,2,71.0,5164.805,372187.1,2018-08-14,2018-08-18
PRJ-2018-002,2018-08-20,1,1,1,1,1,19.0,5781.83,109854.68,2018-08-21,2018-08-21
PRJ-2018-002,2018-09-03,2,2,2,2,2,627.0,254816.695,1113047.04,2018-09-04,2018-09-09
PRJ-2018-002,2018-09-17,3,3,2,2,3,162.0,3453.023333333333,144099.3,2018-09-17,2018-09-22
