project_id,sov_line_id,actual_material_cost,num_deliveries,num_unique_deliveries,num_material_categories,num_vendors,total_quantity,avg_unit_cost,first_delivery_date,last_delivery_date,budget_material_cost,productivity_factor,key_assumptions,material_variance,pct_overrun
PRJ-2018-001,PRJ-2018-001-SOV-03,1499679.91,7,7,2,5,1425.0,3411.092857142857,2018-01-21,2018-05-29,1530400.0,0.85,70% shop fabrication; 30% field fab; standard material availability,-30720.090000000084,-0.020073242289597545
PRJ-2018-001,PRJ-2018-001-SOV-04,1372076.94,8,8,2,2,1503.0,3043.8399999999997,2018-01-22,2018-06-04,1400200.0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas,-28123.060000000056,-0.020085030709898626
PRJ-2018-001,PRJ-2018-001-SOV-05,1500498.4700000002,8,8,3,4,2468.0,4323.35,2018-03-11,2018-09-11,1531200.0,0.9,Copper pricing based on current market rates,-30701.529999999795,-0.02005063349007301
PRJ-2018-001,PRJ-2018-001-SOV-06,883476.56,5,5,1,4,2973.0,407.834,2018-05-12,2018-09-20,901500.0,0.9,Refrigerant pricing per current market; lineset routing direct,-18023.439999999944,-0.01999272323904597
PRJ-2018-001,PRJ-2018-001-SOV-07,3545653.3,4,4,1,3,1797.0,285601.1825,2018-04-14,2018-05-17,0.0,0.95,Equipment selections per approved substitution list; long lead items ordered at NTP,3545653.3,
PRJ-2018-001,PRJ-2018-001-SOV-08,2310084.69,7,7,3,4,247.0,103287.86142857143,2018-04-22,2018-09-26,0.0,0.95,Chiller/boiler selections by owner; installation productivity assumes clear access,2310084.69,
PRJ-2018-001,PRJ-2018-001-SOV-09,2832335.08,4,4,2,3,402.0,276320.0725,2018-05-08,2018-09-28,0.0,0.9,VAV/FCU counts per schedule; BACnet integration by controls sub,2832335.08,
PRJ-2018-001,PRJ-2018-001-SOV-10,1091472.3,5,5,1,4,204.0,5533.606,2018-07-19,2018-09-07,1113800.0,0.85,DDC installation per controls contractor scope; point count per I/O schedule,-22327.699999999953,-0.020046417669240396
PRJ-2018-001,PRJ-2018-001-SOV-11,627935.25,5,5,2,4,217.0,2925.214,2018-06-12,2018-08-26,640800.0,0.9,Programming based on approved sequences; 2 weeks for commissioning,-12864.75,-0.020076076779026217
PRJ-2018-001,PRJ-2018-001-SOV-12,578771.57,3,3,1,2,988.0,724.0233333333332,2018-07-28,2018-12-15,0.0,1.0,Insulation by specialty sub; pricing based on current bid,578771.57,
PRJ-2018-001,PRJ-2018-001-SOV-22,398850.85,1,1,1,1,33.0,12086.39,2018-09-07,2018-09-07,,,,,
PRJ-2018-001,PRJ-2018-001-SOV-25,245025.93,1,1,1,1,249.0,984.04,2018-06-06,2018-06-06,,,,,
PRJ-2018-002,PRJ-2018-002-SOV-03,1358127.3599999999,5,5,1,4,1356.0,2027.9119999999998,2018-03-26,2018-07-14,1308400.0,0.85,70% shop fabrication; 30% field fab; standard material availability,49727.35999999987,0.03800623662488525
PRJ-2018-002,PRJ-2018-002-SOV-04,1044064.72,4,4,4,4,280.0,5057.655,2018-05-16,2018-08-14,1005800.0,0.8,Productivity assumes 70% in accessible ceiling; 30% open areas,38264.71999999997,0.038044064426327275
PRJ-2018-002,PRJ-2018-002-SOV-05,1063964.8199999998,3,3,2,2,1230.0,1680.97,2018-07-21,2018-10-19,1025000.0,0.9,Copper pricing based on current market rates,38964.81999999983,0.0380144585365852
