project_id,project_name,original_contract_value,gc_name,est_labor,est_material,est_equip,est_sub,total_budget,actual_labor_cost,actual_material_cost,actual_tracked_cost,co_approved_value,co_rejected_value,adjusted_contract,bid_margin,realized_margin_dollars,realized_margin_pct,labor_overrun_pct,material_overrun_pct,rfi_count,rfi_cost_impact_count,rfi_high_critical,rfi_open,cumulative_billed,pct_billed,budget_coverage,ot_share
PRJ-2021-260,Nashville Mixed-Income Housing - Climate Control,2608000.0,Mortenson,807100.0,355100.0,432200.0,97300.0,1691700.0,3818653.370000017,1171922.17,4990575.540000017,214600.0,16300.0,2822600.0,0.3513420245398773,-2697475.540000017,-0.9556704952880383,373.1326192541218,230.02595606871301,96,23,40,5,2593200.0,0.9187274144405867,0.6486579754601227,0.05346650998824912
PRJ-2019-113,Kansas City Middle School - HVAC Systems,3319000.0,Turner Construction,1126100.0,427500.0,609600.0,145600.0,2308800.0,3936787.959999998,1445118.1799999997,5381906.139999998,543500.0,9700.0,3862500.0,0.30436878577884907,-2274606.139999998,-0.5888947935275075,249.59488144924947,238.0393403508771,99,27,35,0,3298500.0,0.8539805825242719,0.6956312142211509,0.049760348583878
PRJ-2022-322,Kansas City Corporate Campus - HVAC Systems,4371000.0,Mortenson,1664800.0,687600.0,792800.0,225400.0,3370600.0,3955480.1700000055,1978561.9299999992,5934042.100000005,547500.0,-23700.0,4918500.0,0.22887211164493249,-2033742.1000000052,-0.41348827894683443,137.59491650648758,187.74897178592192,54,13,22,3,4346700.0,0.883745044220799,0.7711278883550675,0.05340483041241608
PRJ-2019-154,Las Vegas Colocation Facility - HVAC,6455000.0,DPR Construction,3386100.0,1299700.0,1763900.0,391900.0,6841600.0,3843168.960000008,2997098.2300000004,6840267.190000009,575500.0,310500.0,7030500.0,-0.05989155693261039,-1965567.1900000088,-0.279577155252117,13.498389297422042,130.59923289990002,51,12,20,1,6415400.0,0.912509778820852,1.0598915569326104,0.05416685365525288
PRJ-2021-315,Baltimore Mixed-Income Housing - Climate Control,5465000.0,Skanska USA,2986700.0,1071400.0,1319200.0,309400.0,5686700.0,4299798.539999988,2268492.1999999997,6568290.739999987,888300.0,171300.0,6353300.0,-0.040567246111619326,-1843590.7399999872,-0.29017844899500844,43.96486222251943,111.73158484226242,86,25,26,2,5430000.0,0.8546739489714007,1.0405672461116193,0.052751742369622684
PRJ-2020-203,San Antonio High School - New Construction,4570000.0,DPR Construction,1711600.0,731100.0,825300.0,209100.0,3477100.0,4167158.170000008,1948588.7399999998,6115746.910000008,926000.0,129200.0,5496000.0,0.23914660831509849,-1654146.9100000076,-0.3009728729985458,143.46565611124143,166.52834632745174,78,15,32,1,4541500.0,0.8263282387190685,0.7608533916849015,0.05481039907269415
PRJ-2022-325,Minneapolis Apartment Complex - MEP,4398000.0,Mortenson,2488600.0,924900.0,1204500.0,289800.0,4907800.0,3134152.2700000205,1958106.8300000005,5092259.100000021,670700.0,294200.0,5068700.0,-0.11591632560254661,-1517859.100000021,-0.2994572770138341,25.9403789279121,111.71011244458869,82,25,30,3,4368700.0,0.8618975279657506,1.1159163256025466,0.05303363376566278
PRJ-2018-052,Richmond Mixed-Use Tower - Mechanical,3101000.0,Skanska USA,1576900.0,597300.0,750600.0,209000.0,3133800.0,2388616.2300000354,1453312.5599999996,3841928.790000035,246700.0,167500.0,3347700.0,-0.010577233150596665,-1453828.7900000345,-0.4342769035457283,51.475441055237205,143.31367152184825,72,16,28,1,3076200.0,0.9188995429698001,1.0105772331505967,0.053431798436142486
PRJ-2019-120,Albuquerque Senior Living - HVAC Upgrade,7611000.0,DPR Construction,3901200.0,1662300.0,1926900.0,468100.0,7958500.0,3602213.420000012,3421526.6900000004,7023740.110000012,430700.0,236500.0,8041700.0,-0.04565760084088821,-1377040.1100000124,-0.1712374386012923,-7.663964421203429,105.83087830114906,51,14,16,1,7566200.0,0.9408707114167403,1.0456576008408882,0.057639787264625555
PRJ-2020-184,San Antonio Cloud Campus Phase 1 - Cooling,5820000.0,Skanska USA,2753400.0,1141300.0,1338600.0,306200.0,5539500.0,3956378.5500000087,2542634.77,6499013.320000009,958500.0,99500.0,6778500.0,0.048195876288659845,-1365313.3200000087,-0.20141820756804732,43.69065700588395,122.78408569175502,78,20,36,2,5786200.0,0.853610680829092,0.9518041237113402,0.05508622191255879
