project_id,week_start,total_cost,week_change,pct_change
PRJ-2023-385,2023-06-19,33553.12999999998,-76219.89000000001,-0.6943408316542627
PRJ-2023-385,2023-06-26,26952.059999999998,-6601.069999999985,-0.19673485007210917
PRJ-2023-385,2023-07-03,32746.499999999985,5794.439999999988,0.21499061667271402
PRJ-2023-385,2023-07-10,30895.799999999992,-1850.6999999999935,-0.05651596353808787
PRJ-2023-385,2023-07-17,246356.77999999997,215460.97999999998,6.973795143676488
PRJ-2023-385,2023-07-24,190568.3,-55788.47999999998,-0.22645400707055835
PRJ-2023-385,2023-07-31,108403.15999999999,-82165.14,-0.43115848753439057
PRJ-2023-385,2023-08-07,98348.75999999998,-10054.400000000009,-0.09275006374352934
PRJ-2023-385,2023-08-14,32491.129999999986,-65857.62999999999,-0.6696335571490684
PRJ-2023-385,2023-08-21,507248.02,474756.89,14.611892230279471
PRJ-2023-385,2023-08-28,178034.50999999998,-329213.51,-0.6490188172641856
PRJ-2023-385,2023-09-04,364470.37999999995,186435.86999999997,1.0471895027542693
PRJ-2023-385,2023-09-11,31494.539999999983,-332975.83999999997,-0.9135882043418727
PRJ-2023-385,2023-09-18,102354.18,70859.64000000001,2.2499023640288143
PRJ-2023-385,2023-09-25,24822.95999999999,-77531.22,-0.7574797629173523
PRJ-2023-385,2023-10-02,34453.19999999999,9630.240000000002,0.38795695597946445
PRJ-2023-385,2023-10-09,109025.38999999998,74572.19,2.1644488755761446
PRJ-2023-385,2023-10-16,106734.42,-2290.9699999999866,-0.021013178673334597
PRJ-2023-385,2023-10-23,217458.24999999997,110723.82999999997,1.037376977361192
PRJ-2023-385,2023-10-30,159198.02,-58260.22999999998,-0.26791455371318396
PRJ-2023-385,2023-11-06,57488.74999999999,-101709.26999999999,-0.6388852700554943
PRJ-2023-385,2023-11-13,75669.79999999999,18181.049999999996,0.3162540497053771
PRJ-2023-385,2023-11-20,67656.16999999998,-8013.630000000005,-0.10590261901049039
PRJ-2023-385,2023-11-27,72535.51999999999,4879.350000000006,0.072119808141667
PRJ-2023-385,2023-12-04,29925.789999999986,-42609.73,-0.5874326123256579
PRJ-2023-385,2023-12-11,65891.98999999999,35966.200000000004,1.2018463004652515
PRJ-2023-385,2023-12-18,287909.45999999996,222017.46999999997,3.369415159566436
PRJ-2023-385,2023-12-25,362444.26,74534.80000000005,0.2588827751613304
PRJ-2023-385,2024-01-01,31981.56999999999,-330462.69,-0.9117614112581063
PRJ-2023-385,2024-01-08,37863.58999999998,5882.019999999993,0.1839190508783651
PRJ-2023-385,2024-01-15,144413.23,106549.64000000003,2.8140395562069016
PRJ-2023-385,2024-01-22,164385.81,19972.579999999987,0.1383015946669151
PRJ-2023-385,2024-01-29,58258.04999999999,-106127.76000000001,-0.6456017097826146
PRJ-2023-385,2024-02-05,75148.30999999998,16890.259999999995,0.28992147866260537
